rank,precision,recall
590,0.5705467791602943,0.9884649380387132
591,0.5697825831590058,0.9886510591850418
592,0.5690209689009543,0.9888371803313698
593,0.5682619233250593,0.989023301477698
594,0.5675054334581677,0.989209422624026
595,0.5667514864143691,0.9893955437703547
596,0.5660000693941842,0.9895816649166833
597,0.5652511696839672,0.9897677860630112
598,0.5645047746550453,0.9899539072093395
599,0.5637608717631208,0.9901400283556675
600,0.5630194485475136,0.9903261495019962
601,0.562280492630449,0.9905122706483248
602,0.5615439917164339,0.9906983917946527
603,0.5608099335915286,0.990884512940981
604,0.560078306122648,0.991070634087309
605,0.5593490972569767,0.9912567552336377
606,0.5586222950212315,0.9914428763799663
607,0.5578978875210211,0.9916289975262942
608,0.5571758629402227,0.9918151186726225
609,0.5564562095403006,0.9920012398189505
610,0.5557389156597382,0.9921873609652792
611,0.5550239697133043,0.9923734821116077
612,0.5543113601915304,0.9925596032579357
613,0.5536010756600659,0.992745724404264
614,0.5528931047589688,0.992931845550592
615,0.5521874362022695,0.9931179666969207
616,0.5514840587772636,0.9933040878432492
617,0.5507829613439011,0.9934902089895772
618,0.5500841328342769,0.9936763301359055
619,0.5493875622519746,0.9938624512822335
620,0.548693238671552,0.994048572428562
621,0.5480011512379289,0.9942346935748907
622,0.5473112891658366,0.9944208147212187
623,0.5466236417392367,0.994606935867547
624,0.5459381983107979,0.994793057013875
625,0.5452549483013295,0.9949791781602035
626,0.5445738811992447,0.9951652993065322
627,0.5438949865599924,0.9953514204528602
628,0.5432182540055868,0.9955375415991883
629,0.5425436732240139,0.9957236627455164
630,0.5418712339687258,0.995909783891845
631,0.5412009260581456,0.9960959050381737
632,0.5405327393751331,0.9962820261845018
633,0.5398666638664652,0.99646814733083
634,0.5392026895423827,0.9966542684771579
635,0.5385408064760002,0.9968403896234865
636,0.5378810048029062,0.9970265107698152
637,0.5372232747206368,0.9972126319161432
638,0.5365676064881543,0.9973987530624713
639,0.5359139904254068,0.9975848742087994
640,0.5352624169128541,0.997770995355128
641,0.5344285263286394,0.9977724783921506
642,0.5335972335344266,0.9977739614291731
643,0.5327685264098552,0.9977754444661957
644,0.5319423929098981,0.9977769275032182
645,0.5311188210642027,0.9977784105402407
646,0.5302977989765459,0.9977798935772633
647,0.5294793148242446,0.9977813766142858
648,0.5286633568575989,0.9977828596513083
649,0.5278499133993155,0.9977843426883308
650,0.5270378366094751,0.9977843426883308
651,0.526228254679199,0.9977843426883308
652,0.5254211561290778,0.9977843426883308
653,0.5246165295500207,0.9977843426883308
654,0.5238143636026842,0.9977843426883308
655,0.5230146470170344,0.9977843426883308
656,0.5222173685917095,0.9977843426883308
657,0.5214225171935514,0.9977843426883308
658,0.5206300817570831,0.9977843426883308
659,0.5198400512839979,0.9977843426883308
660,0.5190524148426666,0.9977843426883308
661,0.5182671615675619,0.9977843426883308
662,0.5174842806588508,0.9977843426883308
663,0.5167037613818497,0.9977843426883308
664,0.5159255930665079,0.9977843426883308
665,0.5151497651070028,0.9977843426883308
666,0.5143762669611929,0.9977843426883308
667,0.513605088150162,0.9977843426883308
668,0.5128362182577293,0.9977843426883308
669,0.5120696469299834,0.9977843426883308
670,0.511305363874868,0.9977843426883308
671,0.5105433588616349,0.9977843426883308
672,0.509783621720481,0.9977843426883308
673,0.5090261423420032,0.9977843426883308
674,0.5082709106767951,0.9977843426883308
675,0.5075179167350423,0.9977843426883308
676,0.5067671505860372,0.9977843426883308
677,0.5060186023576925,0.9977843426883308
678,0.5052722622362265,0.9977843426883308
679,0.5045281204656271,0.9977843426883308
